puzzleId,title,identifiers
3647,Book Club,K.CC.A.2
4283,Counting Cars,"K.CC.A.2,K.CC.B.4.c"
3095,Try It Out,"K.CC.A.3,K.OA.A,K.NBT.A.1"
3107,Balloon Fun,"K.CC.B,K.OA.A,K.NBT.A.1"
3407,Count Them Up,K.CC.B.4
3671,Pick 'em Up!,K.CC.B.4
4571,Ants on a Bun,K.CC.B.4
4691,The Snake's Next Meal,K.CC.B.4
4643,Saul's Cupcakes,K.CC.B.5
3179,Let's Play Ball!,K.CC.C.6
3611,New Pencils,K.CC.C.6
4019,Pretzel Riddle,K.CC.C.6
4367,Color Competition,K.CC.C.6
4583,A Game of Dice,"K.CC.C.7,K.OA.A,K.NBT.A.1"
4487,What Do I Have in My Bag?,K.G.A.1
4535,Different Shapes,"K.G.A.2,K.G.B.4"
4595,How Big Is Your Foot?,"K.MD.A.1,K.MD.A.2"
3143,Cupcake Combinations,K.MD.B.3
4079,Model Car Collection,K.MD.B.3
4835,Lining Up for Lunch,K.MD.B.3
3083,Money Matters,K.NBT.A.1
3119,Ice Cream Party,"K.OA.A,K.NBT.A.1"
3131,Magic Rabbits,"K.OA.A,K.NBT.A.1"
3599,Picking Flowers,"K.OA.A,K.NBT.A.1"
4547,Building a Tower,"K.OA.A,K.NBT.A.1"
3299,Baby Birds,K.OA.A.5
3983,Counting Gumballs,K.OA.A.5
4007,Hannah's Cookies,K.OA.A.5
4307,Growing Up,K.OA.A.5
4631,How Many Pinecones?,K.OA.A.5
5087,A Walk to the Park,K.OA.A.5
5111,Prize Box,K.OA.A.5
5147,Colorful Candies,K.OA.A.5
3191,Helping Hands,"1.G.A.3, 3.NF.A.1, 6.RP.A.1"
3635,Birthday Cake,1.G.A.3
3251,Batting Order,"1.MD.C.4,3.MD.B,6.SP.B.5"
3587,Lunch Line,1.MD.C.4
4103,Decorating Cookies,1.MD.C.4
4703,Gym Line,1.MD.C.4
4823,How Tall Is Your Tower?,1.MD.C.4
4967,Goody Bags,1.MD.C.4
5039,The Arm Wrestling Match,"1.NBT.A.1, 2.MD.D.10, 6.SP.B.5"
3359,Clowning Around,1.NBT.B.3
3371,Goldfish Galore,1.OA.A.1
3503,More Milk!,1.OA.A.1
3767,Apple Celebration,"1.OA.A.1, 6.EE.C.9"
4031,Playing Cards,1.OA.A.1
3623,Playground Fun,1.OA.A.2
3731,Bat-tastic!,"1.OA.A.2, 1.OA.C.6,1.NBT.C.4"
3707,Field Day,"1.OA.A.2,1.NBT.C.4"
4787,Counting Comics,"1.OA.A.2,1.OA.A.2,1.NBT.C.4"
4043,Snack Time!,"1.OA.A.2,1.OA.B.4,1.OA.C.6,1.NBT.C.4"
4139,Puppies for Sale,"1.OA.A.2,1.OA.B.4,1.OA.C.6,1.NBT.C.4"
3335,Flower Fun,"1.OA.A.2,1.OA.C.6,1.NBT.C.4"
3347,Jordan's Jobs,"1.OA.A.2,1.OA.C.6,1.NBT.C.4"
4895,Donut Sale,"1.OA.A.2,1.OA.C.6,1.NBT.C.4"
3395,Number Fun,"1.OA.B.4,1.OA.C.6"
4055,Yummy Gummy Bears,"1.OA.B.4,1.OA.C.6"
4091,The Van Ride,"1.OA.B.4,1.OA.C.6"
4127,Gum for Everyone!,"1.OA.B.4,1.OA.C.6"
4451,How Many Berries Did I Eat?,"1.OA.B.4,1.OA.C.6"
3311,Warming Up!,"1.OA.B.4,1.OA.C.6,1.NBT.C.4"
3695,Play Date,"1.OA.B.4,1.OA.C.6,1.NBT.C.4"
4403,Making Sandwiches,"1.OA.B.4,1.OA.C.6,1.NBT.C.4"
4439,The Eagle and the Bear,"1.OA.B.4,1.OA.C.6,1.NBT.C.4, 6.EE.B.6"
3683,Drumsticks,"1.OA.B.4,1.OA.C.6,1.NBT.C.4"
3743,Clean-up Time,1.OA.C.6
4175,Name That Shape!,2.G.A.1
3167,Letter to Grandma,2.G.A.2
4979,Laying Carpet,2.G.A.2
3539,Pizza Night,"2.G.A.3, 3.NF.A.1, 6.RP.A.1"
3791,"Up, Up, and Away!",2.G.A.3
4343,Making Cookies,2.G.A.3
4004,Cyndy's Curtains,2.MD.A
3455,Building a Fence,2.MD.B.5
3203,Home On Time,2.MD.C.7
3563,Pocket Money,2.MD.C.8
3911,Saving Up,2.MD.C.8
4391,Getting Allowance,2.MD.C.8
3815,Recycling,2.MD.D.10
3515,Fourth of July,2.NBT
4955,Counting Shells,2.NBT.A.2
3227,Winter Is Coming!,2.NBT.B
3851,Back to School,2.NBT.B
3875,Pinecones,2.NBT.B
4259,Trolls and Dogs,"2.NBT.B"
4931,Dog Packs,2.NBT.B
5027,Charlie's Gumballs,"2.NBT.B, 3.NF.A.1, 6.RP.A.1, 7.EE.B.4"
5063,At the Fair,2.NBT.B
3527,A Summer Garden,"2.NBT.B.5,2.NBT.B.7,2.NBT.B.9"
5051,Add or Subtract?,"2.NBT.B.5,2.NBT.B.7,2.NBT.B.9"
3287,Ice Cream Sandwiches,2.OA.A.1
3419,Happy Birthday!,2.OA.A.1
3479,Picnic at the Park,2.OA.A.1
3803,Reading Superstars,"2.OA.B.2,2.NBT.B"
4187,Catching Minnows,"2.OA.B.2,2.NBT.B"
4211,Picture This,"2.OA.B.2,2.NBT.B"
4247,How Far Will Taylor Run?,"2.OA.B.2,2.NBT.B"
3887,Bubblegum,2.OA.C.3
3263,A Trip to the Ballpark,"2.OA.C.4,2.NBT.B"
16002,Pooling Tips,"3.OA.A.3,3.OA.D.8,4.OA.A.3,5.OA.A.2"
2875,How Many Actors?,"3.G.A.2,4.NF.B.3.a,5.NF.A.2"
3571,A Jar of Coins,"3.G.A.2,4.OA.B.4, 5.NF.A.2,6.RP.A.3"
3019,Campers' Cider,"3.G.A.2,5.NBT.B.7"
4015,It's Summer in Melbourne,"3.MD.A,4.MD.A.2,5.MD.A.1"
1105,Ms. Newton's Secret,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
1237,Flying Time Zones,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
1273,Seasonal Probability,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
1297,Aidan's Millimeter Measurements,"3.MD.A.1,5.MD.A.1"
2743,Choose Your Challenge,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
3895,Time to Get Up,"3.MD.A.1,4.MD.A.1,5.MD.A.1"
817,Water Fun?,"3.MD.A.1,3.MD.A.2,4.MD.A.2,4.MD.A.1,5.MD.A.1"
505,Movie Line Madness,"3.MD.A.1,4.MD.A.2,4.MD.A.1,5.MD.A.1"
16988,All Aboard!,"3.MD.A.1,4.MD.A.2,5.MD.A.1"
3679,Hauling Sand,"3.MD.A.2,4.MD.A.2,5.MD.C"
4687,Sheila's Shelves,"3.MD.A.2,4.NF.B.3,4.MD.A.2,5.NF.B.6"
3115,Can You Drink That Swimming Pool?,"3.MD.A.2,5.NBT.A.4,5.MD.C"
349,Perfect Passengers,"3.MD.B,5.OA.A.2,6.SP.B.5"
458,Happy Thanksgiving,"3.MD.B,6.SP.B.5"
577,High School Reunion,"3.MD.B,6.SP.B.5"
2923,Grampa Joe's Great Grandpets,"3.MD.B,6.SP.B.5"
3043,Campfire Camaraderie,"3.MD.B,6.SP.B.5"
5216,Movie Seating,"3.MD.B,6.SP.B.5"
16999,The Oracle's Crowns,"3.MD.B,6.SP.B.5"
1621,Bunches of Basil,"3.MD.C,3.MD.D.8,4.NBT.B.5,4.MD.A.3,4.OA.A.3,5.OA.A.2"
3127,A Larger Garden,"3.MD.C,3.MD.D.8,4.MD.A.3, 6.G.A,7.G.B.6"
613,Frugal Flooring,"3.MD.C,4.MD.A.3,4.OA.A.3,5.OA.A.2"
865,Lost in Space,"3.MD.C,4.MD.A.3,4.OA.A.3,5.OA.A.2"
4711,Frog Farming,"3.MD.C,4.MD.A.3,5.G.A.1"
602,Spring Garden Planning,"3.MD.C.5,4.OA.A.3,5.OA.A.2"
4531,Tangrams,"3.MD.C.5,3.MD.C.6,3.MD.C.7.a,4.MD.A.2,4.OA.A.3,5.OA.A.2"
2803,Teresa's Tiles,"3.MD.C.5,3.MD.C.6,3.MD.C.7.b,3.MD.C.7.d,4.MD.A.3,4.OA.A.3,5.OA.A.2"
3235,Pig Pens,"3.MD.C.5,3.MD.C.6,3.MD.D.8,4.MD.A.3,4.OA.A.3,5.OA.A.2"
4039,Mini-Mall Measurements,"3.MD.C.5,3.MD.D.8,4.MD.A.3,4.OA.A.3,5.OA.A.2"
3116,Time Is Power,"3.MD.C.5.a,4.OA.A.3,5.OA.A.2"
1453,Puzzling Puzzle Pieces,"3.MD.C.7,4.OA.B.4,4.NBT.B.5,4.MD.A.3,5.NBT.B.5,5.NBT.B.6"
2971,Football Fanfare,"3.MD.C.7.b,4.OA.B.4,4.NBT.B.5,5.NBT.B.5,5.NBT.B.6"
1117,Lucky Lettuce Land,"3.MD.D.8,4.MD.A.3,5.MD.A.1"
1501,Mowing Madness,"3.MD.D.8,4.MD.A.3,5.MD.A.1"
2732,Tiling Tables,"3.MD.D.8,4.MD.A.3,5.MD.A.1"
878,I Get a Kick Out of Soccer!,"3.MD.D.8,4.MD.A.3,5.MD.A.1"
3259,Pocket Change,"3.NBT.A.2,4.OA.A.3,5.OA.A.2"
3955,Homework-Free Fridays,"3.NBT.A.2,4.OA.A.3,5.OA.A.2"
3535,Victoria in Bloom,"3.NBT.A.2,4.NBT.B.4,4.OA.A.3,5.OA.A.2"
3991,Bobsled Sums,"3.NBT.A.2,4.NBT.B.4,4.OA.A.3,5.OA.A.2"
2959,Dad's Cookies,"3.NF.A.1,5.NF.A.2"
2755,Catching Up!,"3.NF.A,3.MD.A.1,4.NF.B.4.a,5.NF.B.3"
4087,A Pound of Tea,"3.NF.A,4.NF,5.NF.A.2,5.NF.B.3,5.NF.B.4,5.NF.B.6"
3380,Top Notch Nose Contest,"3.NF.A.1,5.NF.A.2"
769,Lawn-Mowing Chore,"3.NF.A.1,3.NF.A.3,3.G.A.2,4.NF.A.1,4.NF.B.3,4.NF.B.4,5.NF.A.2,5.NF.B.3"
3271,Filling Beauty's Seats,"3.NF.A.3,3.G.A.2,4.NF.A.1,4.NF.B.3,5.NF.A.1"
3295,How Old is Santa Claus?,"3.NF.A.3,4.NF.A.1,4.NF.B.3,5.NF.A.1"
2041,Jumping Rope,"3.NF.A.3.c,3.G.A.2,4.NF.B.4,5.NF"
3931,Wheels R Us,"3.NF.A.3.c,4.OA.B.4,4.NF.B.4,5.NF.B.3"
1309,How Safe Is Your Bike?,4.NF.A.2
1310,Baseball Trivia,"3.OA.A.3,3.MD.B.4,4.OA.A,6.SP.B.5"
721,Golf Anyone?,"3.OA,3.OA.D.8,3.NBT.A.2,4.OA.A.3,5.NBT.B.5"
17061,Assembly Seating,"3.OA,4.OA.A,4.OA.B.4,5.OA.A.2"
17066,Clock Work,"3.OA,4.OA.A.2,4.OA.A.3,5.OA.A.2"
4099,Buy the Numbers,"3.OA,4.OA.A.3,4.NBT.A.1,5.NBT.A.1"
4663,Marble Mayhem,"3.OA.A,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.B.4,4.OA.A.3,5.OA.A.2"
17069,Missing Pages,"3.OA.A,3.OA.D.8,4.OA.A.2,4.OA.A.3,5.OA.A.2"
5015,Donuts on a Tray,3.OA.A.3
4003,Pizza Dough,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.NBT.B.6,4.NF.B.4,5.NF.A.2,5.NF.B.4,5.NF.B.6"
589,The Math Teacher's Ties,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.A.3,5.OA.A.2"
5119,You Think Your Teacher is Tough!,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,5.OA.A.2"
5155,Wooden Legs,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.B.4,4.OA.C.5,5.OA.A.2"
5191,Rugby Rules!,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.A.3,5.OA.A.2"
3727,Pirate Treasure,"3.OA.A.3,3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.C.5,4.OA.A.3,5.OA.A.2"
4579,Shopping at the School Store,"3.OA.A.3,3.OA.D.8,3.MD.C.7.c,4.OA.A.2,4.MD.A.2,5.OA.A.2"
3691,How Old is Dad?,"3.OA.A.3,3.OA.D.8,4.OA.A,5.OA.A.2"
4567,Miracle Miranda and the Mascot,"3.OA.A.3,3.OA.D.8,4.OA.A.2,4.OA.A.3,4.OA.C.5,5.OA.A.2"
16989,Holiday Ornaments,"3.OA.A.3,3.OA.D.8,4.OA.A.3,5.OA.A.2"
4111,Just the Facts,"3.OA.A.3,3.OA.D.8,4.OA.A.3,4.NBT.B.5,5.OA.A.2"
5323,"Moons, by Jove!","3.OA.A.3,3.OA.D.8,4.OA.A.3,4.OA.B.4,5.OA.A.2"
1357,Alien Operations,"3.OA.A.4,5.OA.A.1"
1369,Borrowed Books,"3.OA.A.4,5.OA.A.1"
565,Magic Square Jumble,"3.OA.D.8,3.NBT.A.2,4.OA.A.3,4.NBT.B.4,5.OA.A.2"
4615,Sharing Smelt,"3.OA.B.6,3.OA.C.7,3.OA.D.8,4.OA.A.3,4.OA.C.5,4.OA.A.3,5.OA.A.2"
314,A Simple Reversal,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
409,Expressions of One Hundred,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
901,Hot Dog Day!,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
2719,Elevator Weigh-in,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
3007,Zoo Trip,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
3139,More Recess,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
4063,The Math of the Irish,"3.OA.C.7,4.OA.A.3,5.OA.A.2"
1897,Video Viewing,"3.OA.C.7,3.G.A.2,4.NBT.B.5,4.NF.B.4.c,5.NF.B.4.a,5.NF.B.4.b,5.NF.B.6"
2839,Horton's Clover Hunt,"3.OA.C.7,3.MD.A.1,4.OA.A.3,5.OA.A.2"
337,Penny Space,"3.OA.C.7,3.MD.A.2,5.MD.C.4,5.MD.C.5"
1549,Pushing Pennies,"3.OA.C.7,3.MD.C.5,3.MD.C.7,4.MD.A.3,5.NBT.A.4,5.NBT.B.6"
793,Rabbit's Run,"3.OA.C.7,3.MD.D.8,4.OA.B.4,4.NBT.B.5,4.MD.A.3,4.OA.A.3,5.OA.A.2"
1429,Special Stars,"3.OA.C.7,3.NBT.A.1,4.NBT.B.5,5.NBT.B.5"
3979,Math Club Field Trip,"3.OA.C.7,3.NBT.A.2,4.NBT.B,4.OA.A.3,5.OA.A.2"
